Date,US-Mexico Border,North Africa,Sub-Saharan Africa,Mediterranean,Horn of Africa
1-Jan-18,0,0,0,0,0
2-Jan-18,3,2,0,0,0
3-Jan-18,1,2,0,0,0
4-Jan-18,1,0,0,1,0
5-Jan-18,0,1,0,4,0
6-Jan-18,0,3,0,64,0
7-Jan-18,0,0,0,12,0
8-Jan-18,0,1,0,0,0
9-Jan-18,0,0,0,111,0
10-Jan-18,0,2,0,0,0
11-Jan-18,0,3,3,0,0
12-Jan-18,0,2,0,1,0
13-Jan-18,0,2,0,1,0
14-Jan-18,1,0,1,0,0
15-Jan-18,1,11,2,0,0
16-Jan-18,0,2,0,5,0
17-Jan-18,1,3,7,0,0
18-Jan-18,0,3,2,0,0
19-Jan-18,2,4,0,0,0
20-Jan-18,1,2,0,2,0
21-Jan-18,6,4,1,1,0
22-Jan-18,0,3,4,0,0
23-Jan-18,1,1,1,4,30
24-Jan-18,1,5,1,0,0
25-Jan-18,0,2,0,0,1
26-Jan-18,2,4,0,2,0
27-Jan-18,0,4,0,34,0
28-Jan-18,0,4,3,1,0
29-Jan-18,0,0,1,0,0
30-Jan-18,0,2,1,0,0
31-Jan-18,4,4,1,0,0
1-Feb-18,1,5,0,101,0
2-Feb-18,0,1,0,0,0
3-Feb-18,1,3,1,47,0
4-Feb-18,0,2,0,0,0
5-Feb-18,3,0,0,0,0
6-Feb-18,0,5,0,0,0
7-Feb-18,1,2,4,0,0
8-Feb-18,0,0,1,1,25
9-Feb-18,0,0,0,10,0
10-Feb-18,1,0,0,1,0
11-Feb-18,0,1,5,6,0
12-Feb-18,1,4,1,2,0
13-Feb-18,0,6,8,1,0
14-Feb-18,3,21,0,2,0
15-Feb-18,2,2,0,14,0
16-Feb-18,1,0,1,3,0
17-Feb-18,2,1,0,1,0
18-Feb-18,4,1,0,2,0
19-Feb-18,0,5,0,1,0
20-Feb-18,1,2,2,0,0
21-Feb-18,0,6,1,2,1
22-Feb-18,0,0,3,0,0
23-Feb-18,1,2,1,0,0
24-Feb-18,0,2,3,0,0
25-Feb-18,0,0,0,1,0
26-Feb-18,0,2,0,1,0
27-Feb-18,6,0,0,0,0
28-Feb-18,2,4,0,1,0
1-Mar-18,1,9,0,0,0
2-Mar-18,0,0,0,0,1
3-Mar-18,0,0,0,24,0
4-Mar-18,0,2,2,0,0
5-Mar-18,0,0,2,0,0
6-Mar-18,1,0,3,0,0
7-Mar-18,1,3,1,0,0
8-Mar-18,1,0,0,1,0
9-Mar-18,1,1,2,0,0
10-Mar-18,1,0,6,0,0
11-Mar-18,2,0,0,0,0
12-Mar-18,0,5,0,1,0
13-Mar-18,3,2,2,0,0
14-Mar-18,0,0,0,0,0
15-Mar-18,1,0,0,12,0
16-Mar-18,0,3,1,0,0
17-Mar-18,0,1,1,19,0
18-Mar-18,1,1,3,1,0
19-Mar-18,0,1,1,0,0
20-Mar-18,1,0,3,1,0
